Lead_ID,Lead_Date,Lead_Source,Preferred_Model,Preferred_Variant,Assigned_Salesperson,Lead_Status,Followup_Count,Finance_Intent,Exchange_Intent
LD20343,2025-11-07,Walk-in,Creta,Top,SP16,Contacted,5,Yes,No
LD20344,2025-01-16,Facebook,Nexon,Base,SP13,Booked,4,No,Yes
LD20345,2025-11-03,Referral,Baleno,Mid,SP4,Test Drive,5,Yes,No
LD20346,2025-02-21,Aggregator,Swift,Base,SP16,Test Drive,7,Yes,No
LD20347,2024-11-22,Facebook,Swift,Mid,SP13,Test Drive,1,No,No
LD20348,2025-01-25,Referral,Swift,Mid,SP1,Contacted,5,Yes,Yes
LD20349,2024-10-23,Referral,Swift,Top,SP4,Contacted,8,Yes,Yes
LD20350,2025-09-21,Walk-in,Venue,Mid,SP15,Booked,4,Yes,Yes
LD20351,2024-03-24,Referral,Baleno,Mid,SP16,Lost,0,No,No
LD20352,2024-05-25,Referral,City,Mid,SP4,New,7,Yes,No
LD20353,2024-06-19,Website,City,Top,SP17,New,3,No,Yes
LD20354,2024-11-29,Referral,Creta,Base,SP11,Contacted,7,No,Yes
LD20355,2025-02-27,Aggregator,City,Base,SP5,Test Drive,3,Yes,No
LD20356,2024-11-04,Facebook,Baleno,Mid,SP13,Contacted,7,Yes,No
LD20357,2025-06-09,Aggregator,City,Mid,SP12,Lost,8,Yes,No
LD20358,2025-10-22,Aggregator,Venue,Base,SP3,New,4,No,Yes
LD20359,2025-07-22,Walk-in,Nexon,Mid,SP4,New,4,No,Yes
LD20360,2024-12-12,Website,City,Base,SP10,New,1,Yes,No
LD20361,2024-10-28,Website,Swift,Top,SP9,Booked,8,Yes,No
LD20362,2024-12-12,Aggregator,Swift,Mid,SP10,New,3,No,No
LD20363,2025-02-11,Facebook,Nexon,Mid,SP13,Contacted,2,No,Yes
LD20364,2024-05-12,Website,Swift,Base,SP1,Contacted,1,No,No
LD20365,2025-11-12,Website,Swift,Base,SP12,Test Drive,2,Yes,Yes
LD20366,2025-09-05,Aggregator,Venue,Top,SP11,New,3,Yes,Yes
LD20367,2024-04-15,Website,Venue,Mid,SP8,Test Drive,8,No,Yes
LD20368,2024-06-19,Walk-in,Venue,Base,SP14,Contacted,5,No,No
LD20369,2025-10-01,Aggregator,City,Top,SP14,Lost,9,Yes,No
LD20370,2024-09-06,Website,Nexon,Base,SP20,Booked,4,No,Yes
LD20371,2025-06-27,Website,Swift,Base,SP17,Contacted,8,Yes,Yes
LD20372,2025-12-28,Website,Creta,Top,SP19,Lost,7,No,No
LD20373,2024-09-18,Aggregator,Nexon,Top,SP20,New,5,No,Yes
LD20374,2025-05-08,Facebook,Creta,Top,SP17,Booked,2,No,No
LD20375,2024-08-31,Referral,Swift,Top,SP6,Contacted,6,No,No
LD20376,2025-03-26,Website,Baleno,Top,SP14,Contacted,9,Yes,No
LD20377,2024-10-16,Referral,Nexon,Top,SP18,New,5,No,No
LD20378,2024-09-19,Referral,City,Mid,SP17,Test Drive,7,No,Yes
LD20379,2024-11-09,Website,Creta,Top,SP6,New,5,Yes,No
LD20380,2024-03-25,Website,Nexon,Mid,SP5,Test Drive,9,Yes,Yes
LD20381,2025-02-18,Referral,Nexon,Base,SP13,New,3,Yes,Yes
LD20382,2024-11-24,Facebook,Venue,Base,SP16,Booked,9,No,Yes
LD20383,2024-02-14,Referral,Baleno,Top,SP9,Test Drive,6,Yes,No
LD20384,2024-11-28,Facebook,Venue,Base,SP12,Booked,6,No,No
LD20385,2025-04-09,Walk-in,Baleno,Top,SP10,Booked,7,Yes,Yes
LD20386,2024-07-18,Facebook,Baleno,Top,SP13,New,1,No,No
LD20387,2024-07-19,Aggregator,City,Mid,SP19,New,5,Yes,No
LD20388,2024-11-24,Website,Nexon,Base,SP16,Contacted,2,Yes,No
LD20389,2025-11-10,Walk-in,Venue,Top,SP17,Lost,7,Yes,No
LD20390,2024-08-27,Referral,Venue,Base,SP16,Test Drive,3,No,No
LD20391,2025-12-02,Facebook,Creta,Mid,SP14,Booked,3,No,Yes
LD20392,2025-08-05,Walk-in,Nexon,Base,SP16,Booked,1,Yes,No
LD20393,2025-10-18,Aggregator,Swift,Mid,SP15,Lost,5,No,No
LD20394,2024-12-24,Facebook,Swift,Mid,SP12,Test Drive,5,No,Yes
LD20395,2025-12-21,Referral,Creta,Mid,SP5,Test Drive,0,No,No
LD20396,2024-12-25,Referral,Baleno,Top,SP11,Booked,7,No,Yes
LD20397,2025-01-12,Facebook,Creta,Top,SP5,Booked,2,No,Yes
LD20398,2025-01-19,Aggregator,Creta,Base,SP11,Test Drive,0,Yes,No
LD20399,2025-12-20,Website,Venue,Top,SP2,Test Drive,9,No,Yes
LD20400,2025-04-09,Website,Creta,Top,SP19,Test Drive,0,Yes,Yes
LD20401,2024-08-09,Referral,Baleno,Base,SP17,Contacted,0,Yes,No
LD20402,2025-11-05,Aggregator,Swift,Mid,SP19,Booked,4,Yes,Yes
LD20403,2024-12-30,Referral,City,Mid,SP12,Test Drive,4,No,No
LD20404,2024-03-12,Website,Nexon,Base,SP20,New,0,No,Yes
LD20405,2024-08-27,Referral,Creta,Top,SP5,New,4,Yes,No
LD20406,2025-05-18,Facebook,Nexon,Base,SP12,Booked,6,Yes,Yes
LD20407,2025-02-17,Facebook,Creta,Base,SP16,Test Drive,4,Yes,No
LD20408,2024-05-06,Aggregator,Nexon,Top,SP1,Contacted,8,Yes,No
LD20409,2025-05-01,Website,Venue,Base,SP2,New,3,No,Yes
LD20410,2025-08-19,Aggregator,Venue,Top,SP10,Test Drive,8,Yes,Yes
LD20411,2025-06-10,Aggregator,Nexon,Top,SP2,New,7,Yes,No
LD20412,2024-09-04,Website,Creta,Base,SP10,Contacted,0,No,Yes
LD20413,2025-04-26,Walk-in,Creta,Mid,SP18,Test Drive,3,Yes,Yes
LD20414,2024-11-07,Walk-in,Baleno,Top,SP1,Test Drive,6,No,Yes
LD20415,2025-03-19,Referral,Swift,Mid,SP5,Lost,0,Yes,No
LD20416,2024-10-09,Walk-in,Swift,Top,SP12,New,7,No,No
LD20417,2024-01-02,Facebook,City,Mid,SP17,Contacted,1,No,No
LD20418,2024-03-14,Aggregator,Swift,Base,SP19,New,7,No,Yes
LD20419,2024-03-04,Referral,City,Top,SP18,New,3,Yes,Yes
LD20420,2024-12-12,Aggregator,Venue,Base,SP13,New,7,No,Yes
LD20421,2024-11-19,Website,City,Base,SP3,Booked,0,Yes,No
LD20422,2024-08-26,Walk-in,City,Base,SP10,Contacted,4,No,No
LD20423,2025-01-31,Website,Swift,Top,SP14,Lost,8,No,No
LD20424,2024-12-02,Referral,Creta,Base,SP8,New,6,No,No
LD20425,2024-12-06,Facebook,Venue,Base,SP10,Test Drive,2,Yes,Yes
LD20426,2024-10-05,Walk-in,Baleno,Top,SP2,Lost,3,No,Yes
LD20427,2024-12-18,Website,City,Base,SP13,New,9,No,Yes
LD20428,2025-04-07,Walk-in,City,Top,SP5,Contacted,6,No,No
LD20429,2025-04-06,Aggregator,Nexon,Base,SP11,Booked,5,No,Yes
LD20430,2025-12-13,Facebook,City,Mid,SP1,Test Drive,3,Yes,Yes
LD20431,2024-10-19,Walk-in,Creta,Base,SP10,Test Drive,2,Yes,No
LD20432,2025-02-10,Facebook,Baleno,Mid,SP13,Contacted,1,No,No
LD20433,2024-06-10,Aggregator,Nexon,Top,SP4,Booked,9,No,Yes
LD20434,2025-05-17,Aggregator,Swift,Mid,SP10,Test Drive,8,No,No
LD20435,2025-03-23,Website,Venue,Top,SP12,New,2,No,Yes
LD20436,2025-11-25,Referral,Creta,Base,SP14,Lost,6,Yes,Yes
LD20437,2025-03-30,Website,Baleno,Mid,SP3,Test Drive,0,No,No
LD20438,2024-09-21,Facebook,Venue,Base,SP2,Test Drive,7,No,No
LD20439,2024-05-11,Website,Swift,Mid,SP19,Booked,0,Yes,Yes
LD20440,2024-04-29,Walk-in,Venue,Top,SP11,Test Drive,1,No,No
LD20441,2024-08-06,Website,Nexon,Top,SP7,New,0,No,No
LD20442,2025-02-20,Referral,City,Top,SP18,Test Drive,3,Yes,Yes
LD20443,2025-11-02,Referral,City,Top,SP14,Booked,1,No,Yes
LD20444,2025-05-19,Facebook,Creta,Base,SP7,Test Drive,0,Yes,Yes
LD20445,2024-10-26,Aggregator,Venue,Base,SP7,Lost,0,No,No
LD20446,2024-04-18,Referral,City,Base,SP9,New,1,Yes,No
LD20447,2024-08-25,Facebook,Creta,Base,SP12,Contacted,5,Yes,No
LD20448,2024-10-19,Referral,Creta,Base,SP6,Test Drive,1,No,Yes
LD20449,2025-08-01,Referral,Nexon,Top,SP7,Test Drive,1,No,No
LD20450,2024-07-05,Aggregator,Creta,Base,SP4,Contacted,7,No,Yes
LD20451,2024-02-05,Walk-in,Swift,Base,SP16,Booked,4,No,No
LD20452,2025-07-14,Facebook,City,Base,SP7,New,7,Yes,Yes
LD20453,2024-09-12,Referral,City,Top,SP8,New,7,No,No
LD20454,2025-03-10,Referral,Baleno,Top,SP8,Lost,1,No,Yes
LD20455,2025-09-10,Website,Swift,Top,SP20,Contacted,6,No,Yes
LD20456,2024-01-08,Walk-in,City,Top,SP3,Lost,8,Yes,Yes
LD20457,2024-06-26,Aggregator,Nexon,Base,SP9,Contacted,7,Yes,Yes
LD20458,2024-08-29,Facebook,City,Base,SP19,New,8,Yes,No
LD20459,2024-02-10,Referral,Baleno,Mid,SP13,Booked,7,Yes,No
LD20460,2024-12-22,Facebook,Venue,Base,SP7,Booked,3,Yes,No
LD20461,2024-04-22,Aggregator,Venue,Top,SP20,Contacted,9,No,No
LD20462,2024-06-14,Walk-in,Swift,Top,SP15,New,6,No,No
LD20463,2025-05-18,Website,Creta,Base,SP19,Test Drive,8,No,Yes
LD20464,2024-03-18,Walk-in,Baleno,Mid,SP2,New,8,Yes,No
LD20465,2025-12-19,Website,Baleno,Top,SP12,Booked,3,No,No
LD20466,2024-07-14,Facebook,City,Mid,SP8,Contacted,6,Yes,Yes
LD20467,2025-02-05,Walk-in,Nexon,Top,SP8,Booked,5,Yes,No
LD20468,2024-03-04,Walk-in,City,Top,SP13,Contacted,2,Yes,No
LD20469,2025-10-13,Walk-in,Nexon,Base,SP1,Test Drive,9,Yes,No
LD20470,2025-02-28,Aggregator,Baleno,Top,SP10,Booked,5,Yes,Yes
LD20471,2024-02-11,Facebook,Creta,Mid,SP9,New,7,No,Yes
LD20472,2025-01-07,Website,Venue,Mid,SP2,Booked,1,No,No
LD20473,2024-11-01,Walk-in,Swift,Base,SP19,New,2,No,Yes
LD20474,2024-07-27,Facebook,Nexon,Top,SP14,Contacted,7,No,No
LD20475,2025-04-11,Aggregator,Venue,Mid,SP10,Contacted,3,Yes,Yes
LD20476,2024-10-30,Aggregator,Swift,Base,SP10,Booked,3,No,Yes
LD20477,2025-08-07,Facebook,Creta,Mid,SP8,New,1,No,No
LD20478,2025-01-26,Website,Baleno,Base,SP14,Test Drive,9,Yes,Yes
LD20479,2024-06-01,Facebook,Creta,Mid,SP13,Test Drive,0,Yes,No
LD20480,2025-10-08,Facebook,Nexon,Top,SP6,Contacted,6,Yes,Yes
LD20481,2024-12-27,Referral,Baleno,Mid,SP13,Contacted,3,No,No
LD20482,2024-09-20,Aggregator,City,Mid,SP3,Contacted,5,No,Yes
LD20483,2024-08-03,Website,Swift,Base,SP20,New,7,No,No
LD20484,2025-12-21,Referral,City,Base,SP13,Contacted,6,Yes,No
LD20485,2025-12-16,Facebook,Baleno,Base,SP19,Booked,6,Yes,No
LD20486,2025-09-13,Aggregator,Swift,Mid,SP16,Booked,5,Yes,No
LD20487,2025-06-26,Referral,Swift,Base,SP4,Contacted,3,Yes,Yes
LD20488,2025-06-07,Referral,City,Top,SP3,Test Drive,3,Yes,No
LD20489,2025-09-30,Website,Swift,Base,SP15,New,8,Yes,Yes
LD20490,2024-07-12,Facebook,Baleno,Base,SP15,Test Drive,4,No,Yes
LD20491,2025-10-13,Website,Nexon,Top,SP18,Lost,8,Yes,No
LD20492,2024-01-27,Referral,Nexon,Base,SP7,Contacted,8,Yes,No
LD20493,2024-02-15,Referral,Baleno,Base,SP20,Test Drive,3,Yes,No
LD20494,2025-10-08,Website,City,Mid,SP5,Booked,1,Yes,No
LD20495,2024-02-27,Referral,Creta,Mid,SP8,Test Drive,1,Yes,Yes
LD20496,2024-01-13,Walk-in,Baleno,Base,SP10,Contacted,8,Yes,No
LD20497,2025-09-03,Aggregator,Nexon,Top,SP1,New,8,Yes,No
LD20498,2024-02-18,Facebook,Baleno,Base,SP11,Contacted,2,Yes,No
LD20499,2024-04-03,Aggregator,Swift,Base,SP3,Contacted,4,Yes,No
LD20500,2025-08-29,Facebook,Swift,Base,SP3,Test Drive,4,No,Yes
LD20501,2025-10-18,Referral,Baleno,Mid,SP15,Contacted,1,No,Yes
LD20502,2025-08-06,Website,City,Top,SP17,Booked,1,No,Yes
LD20503,2025-03-26,Website,Creta,Top,SP18,New,9,No,No
LD20504,2025-01-13,Referral,Swift,Top,SP8,Contacted,0,Yes,Yes
LD20505,2024-01-10,Facebook,Nexon,Mid,SP13,Test Drive,1,No,No
LD20506,2025-11-04,Referral,Swift,Mid,SP10,New,6,No,Yes
LD20507,2025-12-26,Facebook,Nexon,Base,SP3,Test Drive,0,Yes,No
LD20508,2025-05-30,Referral,Creta,Mid,SP20,Contacted,0,Yes,Yes
LD20509,2024-08-11,Referral,Swift,Base,SP14,New,8,Yes,No
LD20510,2025-01-15,Referral,City,Mid,SP13,New,1,Yes,No
LD20511,2025-06-24,Website,Nexon,Base,SP3,Contacted,3,No,Yes
LD20512,2024-10-28,Facebook,Swift,Mid,SP13,Lost,2,Yes,No
LD20513,2024-07-21,Referral,Swift,Top,SP20,New,3,Yes,Yes
LD20514,2025-08-11,Aggregator,Baleno,Base,SP9,Booked,6,Yes,Yes
LD20515,2025-07-24,Aggregator,City,Mid,SP16,Contacted,9,No,Yes
LD20516,2024-07-14,Website,City,Mid,SP8,Test Drive,1,No,No
LD20517,2024-11-17,Walk-in,Baleno,Base,SP12,Test Drive,1,Yes,Yes
LD20518,2025-02-21,Website,Nexon,Mid,SP12,Lost,8,No,No
LD20519,2025-09-10,Walk-in,Venue,Top,SP19,Booked,5,Yes,No
LD20520,2024-12-07,Website,Creta,Base,SP17,Lost,6,No,Yes
LD20521,2025-01-23,Aggregator,City,Base,SP15,Booked,4,Yes,Yes
LD20522,2024-01-09,Referral,Venue,Base,SP18,Contacted,4,No,No
LD20523,2025-06-15,Facebook,Nexon,Base,SP7,Lost,3,No,No
LD20524,2024-05-28,Referral,Creta,Base,SP13,Lost,7,No,Yes
LD20525,2025-01-17,Aggregator,City,Top,SP19,New,6,Yes,No
LD20526,2025-06-12,Facebook,Swift,Base,SP16,Lost,9,No,No
LD20527,2024-01-12,Walk-in,City,Top,SP11,Test Drive,1,No,No
LD20528,2025-04-20,Walk-in,Creta,Top,SP5,Lost,1,No,Yes
LD20529,2025-08-16,Aggregator,Venue,Top,SP2,Lost,5,Yes,Yes
LD20530,2025-08-01,Facebook,Swift,Base,SP1,Booked,0,No,Yes
LD20531,2025-10-06,Referral,Creta,Top,SP16,Booked,6,Yes,No
LD20532,2024-02-22,Aggregator,Nexon,Base,SP5,New,7,Yes,Yes
LD20533,2025-03-11,Walk-in,Creta,Top,SP7,New,9,Yes,Yes
LD20534,2024-07-24,Aggregator,City,Base,SP9,New,7,Yes,No
LD20535,2024-02-23,Referral,Nexon,Mid,SP4,New,2,Yes,Yes
LD20536,2025-08-02,Website,Baleno,Mid,SP19,Contacted,6,No,Yes
LD20537,2025-05-04,Website,Baleno,Top,SP20,Test Drive,0,Yes,Yes
LD20538,2024-12-09,Referral,Swift,Mid,SP15,Contacted,2,No,No
LD20539,2024-06-17,Facebook,Creta,Top,SP7,Booked,5,No,No
LD20540,2024-06-09,Aggregator,Venue,Top,SP18,Booked,8,Yes,Yes
LD20541,2025-06-10,Referral,Swift,Top,SP5,Test Drive,4,Yes,No
LD20542,2025-12-03,Website,Nexon,Mid,SP13,Contacted,4,Yes,Yes
LD20543,2025-06-10,Walk-in,Swift,Top,SP3,Contacted,8,No,Yes
LD20544,2024-10-13,Referral,City,Mid,SP6,New,8,No,Yes
LD20545,2025-02-15,Referral,Nexon,Mid,SP12,Contacted,5,No,Yes
LD20546,2025-06-05,Referral,Venue,Base,SP18,Booked,4,No,No
LD20547,2025-07-22,Website,Creta,Mid,SP18,Test Drive,9,No,Yes
LD20548,2024-07-17,Website,Nexon,Base,SP4,Booked,1,No,No
LD20549,2024-06-09,Referral,Creta,Top,SP20,Contacted,7,No,No
LD20550,2025-01-23,Referral,Creta,Top,SP14,New,7,No,Yes
LD20551,2025-04-18,Facebook,Swift,Base,SP14,Booked,6,No,Yes
LD20552,2025-01-15,Walk-in,City,Top,SP1,New,7,Yes,Yes
LD20553,2025-09-22,Aggregator,Swift,Base,SP11,Test Drive,2,No,Yes
LD20554,2025-08-14,Aggregator,Baleno,Base,SP9,Booked,2,Yes,No
LD20555,2024-05-03,Aggregator,Baleno,Top,SP18,New,1,Yes,No
LD20556,2024-03-12,Website,Creta,Base,SP5,Test Drive,0,No,No
LD20557,2024-06-16,Website,City,Base,SP10,Test Drive,2,No,No
LD20558,2024-10-10,Facebook,Nexon,Base,SP15,Booked,2,No,Yes
LD20559,2025-05-08,Website,Creta,Top,SP10,New,6,No,Yes
LD20560,2024-02-05,Referral,Nexon,Top,SP16,Booked,9,No,No
LD20561,2024-06-23,Walk-in,Creta,Top,SP4,New,8,No,No
LD20562,2024-07-17,Walk-in,Swift,Top,SP4,Test Drive,0,Yes,No
LD20563,2024-04-25,Walk-in,Creta,Top,SP8,Contacted,7,Yes,Yes
LD20564,2024-11-10,Walk-in,Creta,Mid,SP6,New,0,No,Yes
LD20565,2024-08-07,Aggregator,City,Mid,SP11,Contacted,2,Yes,No
LD20566,2025-07-31,Aggregator,City,Base,SP13,New,3,Yes,Yes
LD20567,2024-05-13,Referral,Nexon,Mid,SP19,Contacted,7,Yes,No
LD20568,2025-09-22,Facebook,City,Top,SP11,New,0,Yes,No
LD20569,2024-05-01,Website,Creta,Top,SP2,Booked,1,Yes,Yes
LD20570,2025-02-24,Website,City,Top,SP3,New,4,Yes,Yes
LD20571,2025-05-06,Aggregator,City,Base,SP15,Booked,5,No,No
LD20572,2025-08-21,Walk-in,Venue,Base,SP13,Booked,4,Yes,Yes
LD20573,2024-10-15,Referral,Venue,Base,SP10,Contacted,2,Yes,Yes
LD20574,2025-10-10,Facebook,Baleno,Base,SP5,Contacted,9,Yes,Yes
LD20575,2024-02-22,Aggregator,Swift,Base,SP11,Contacted,6,Yes,Yes
LD20576,2024-07-23,Referral,Swift,Base,SP14,Lost,0,No,Yes
LD20577,2024-12-13,Referral,City,Mid,SP20,Test Drive,1,Yes,Yes
LD20578,2024-02-20,Aggregator,Baleno,Top,SP15,Lost,8,No,No
LD20579,2024-02-09,Referral,Baleno,Mid,SP13,Contacted,3,Yes,No
LD20580,2024-09-06,Walk-in,Nexon,Base,SP3,Booked,7,No,No
LD20581,2024-08-05,Referral,Venue,Top,SP9,Contacted,8,Yes,No
LD20582,2024-06-27,Facebook,Baleno,Top,SP8,Booked,6,Yes,Yes
LD20583,2025-07-04,Referral,Creta,Top,SP15,New,0,Yes,No
LD20584,2024-07-01,Website,Nexon,Mid,SP1,Test Drive,4,No,Yes
LD20585,2024-06-12,Referral,City,Top,SP2,Test Drive,5,No,No
LD20586,2025-01-11,Aggregator,Creta,Base,SP9,Test Drive,7,No,No
LD20587,2025-12-05,Website,Swift,Base,SP17,Contacted,9,No,Yes
LD20588,2025-05-11,Aggregator,Venue,Mid,SP9,Test Drive,7,Yes,Yes
LD20589,2025-08-19,Facebook,Creta,Mid,SP1,New,8,Yes,No
LD20590,2025-04-05,Walk-in,City,Base,SP8,Test Drive,8,No,Yes
LD20591,2025-04-18,Facebook,Creta,Mid,SP5,Test Drive,3,Yes,Yes
LD20592,2025-11-15,Website,Creta,Top,SP11,Contacted,5,Yes,Yes
LD20593,2024-02-06,Walk-in,Baleno,Mid,SP6,Booked,2,Yes,Yes
LD20594,2025-08-21,Referral,Venue,Top,SP17,New,0,No,No
LD20595,2025-10-02,Website,Swift,Top,SP18,New,5,No,Yes
LD20596,2025-12-06,Walk-in,City,Top,SP18,Contacted,0,Yes,No
LD20597,2024-11-14,Aggregator,Nexon,Top,SP5,Booked,8,No,No
LD20598,2025-07-08,Walk-in,Nexon,Top,SP5,Test Drive,5,No,No
LD20599,2025-02-15,Aggregator,City,Base,SP19,Booked,0,No,No
LD20600,2024-12-21,Aggregator,Swift,Base,SP13,Test Drive,2,No,No
LD20601,2025-11-01,Walk-in,City,Base,SP7,Booked,0,Yes,No
LD20602,2025-09-08,Facebook,Baleno,Top,SP14,Contacted,1,No,No
LD20603,2024-08-16,Facebook,Nexon,Mid,SP8,Booked,5,No,Yes
LD20604,2025-12-29,Aggregator,Nexon,Mid,SP3,Contacted,6,Yes,No
LD20605,2024-09-20,Website,Creta,Top,SP4,Test Drive,0,No,Yes
LD20606,2025-05-01,Walk-in,Baleno,Mid,SP10,New,9,Yes,Yes
LD20607,2025-07-14,Website,Nexon,Top,SP4,Lost,4,Yes,No
LD20608,2024-12-17,Facebook,Baleno,Mid,SP18,Booked,5,No,No
LD20609,2025-03-17,Website,Baleno,Top,SP12,Booked,3,Yes,No
LD20610,2025-09-26,Referral,Swift,Mid,SP20,New,5,Yes,Yes
LD20611,2025-04-03,Referral,Nexon,Mid,SP20,New,4,No,Yes
LD20612,2024-01-25,Facebook,Venue,Base,SP15,Contacted,6,No,Yes
LD20613,2024-05-10,Website,Swift,Mid,SP13,Test Drive,3,No,No
LD20614,2025-01-04,Walk-in,Swift,Mid,SP12,Booked,0,Yes,Yes
LD20615,2025-03-11,Facebook,Baleno,Top,SP8,Contacted,1,Yes,No
LD20616,2024-08-11,Referral,Venue,Mid,SP9,Contacted,5,Yes,Yes
LD20617,2025-09-02,Facebook,Swift,Mid,SP20,Contacted,9,Yes,No
LD20618,2024-12-17,Website,Venue,Mid,SP9,Booked,1,Yes,No
LD20619,2025-04-29,Website,Nexon,Mid,SP17,Contacted,4,Yes,No
LD20620,2024-07-15,Website,Baleno,Mid,SP1,Lost,3,No,Yes
LD20621,2024-04-18,Aggregator,Swift,Base,SP6,New,6,Yes,Yes
LD20622,2024-08-07,Website,Venue,Mid,SP7,Booked,3,Yes,Yes
LD20623,2025-12-20,Referral,City,Top,SP9,Test Drive,6,No,Yes
LD20624,2024-11-14,Referral,Swift,Top,SP10,New,7,Yes,Yes
LD20625,2024-03-22,Aggregator,Swift,Mid,SP4,Booked,6,Yes,No
LD20626,2025-06-20,Referral,Swift,Mid,SP16,Contacted,1,Yes,No
LD20627,2025-11-28,Referral,Venue,Mid,SP12,Test Drive,0,No,No
LD20628,2025-03-07,Facebook,Creta,Base,SP9,Test Drive,4,No,No
LD20629,2024-01-08,Website,Nexon,Top,SP3,New,6,No,Yes
LD20630,2025-09-27,Facebook,Swift,Base,SP9,Booked,0,No,Yes
LD20631,2024-05-28,Facebook,City,Base,SP17,Test Drive,7,Yes,No
LD20632,2024-04-07,Referral,City,Mid,SP14,Booked,2,Yes,No
LD20633,2025-12-28,Walk-in,Baleno,Mid,SP5,Contacted,6,No,Yes
LD20634,2024-04-10,Website,Creta,Top,SP1,New,2,Yes,Yes
LD20635,2025-12-30,Walk-in,Creta,Mid,SP1,Contacted,3,Yes,No
LD20636,2025-01-01,Referral,Venue,Top,SP3,Lost,7,Yes,No
LD20637,2025-04-06,Aggregator,Baleno,Base,SP9,Lost,1,No,Yes
LD20638,2025-02-17,Facebook,Venue,Top,SP6,Contacted,5,Yes,Yes
LD20639,2024-09-15,Referral,Baleno,Top,SP9,Contacted,9,No,Yes
LD20640,2024-12-21,Referral,Nexon,Top,SP4,Booked,8,Yes,No
LD20641,2024-01-11,Walk-in,Creta,Base,SP20,Booked,9,Yes,No
LD20642,2025-02-19,Aggregator,Nexon,Base,SP19,Booked,8,No,Yes
LD20643,2025-07-24,Facebook,Venue,Mid,SP5,New,4,No,No
LD20644,2024-09-06,Aggregator,Baleno,Mid,SP5,New,2,Yes,No
LD20645,2025-10-13,Aggregator,Creta,Top,SP14,Contacted,5,No,Yes
LD20646,2025-07-03,Aggregator,Creta,Top,SP10,New,8,No,No
LD20647,2024-05-01,Website,Swift,Base,SP16,Booked,5,Yes,No
LD20648,2024-03-05,Aggregator,Venue,Base,SP6,Test Drive,3,No,No
LD20649,2025-10-19,Referral,Swift,Base,SP20,Booked,4,No,Yes
LD20650,2024-10-28,Website,Creta,Top,SP14,New,6,No,Yes
LD20651,2024-05-04,Website,Venue,Top,SP18,Test Drive,9,No,No
LD20652,2024-11-07,Aggregator,Venue,Base,SP9,Test Drive,2,No,No
LD20653,2024-07-09,Referral,Nexon,Top,SP7,Contacted,8,No,No
LD20654,2025-03-25,Facebook,City,Base,SP18,Test Drive,0,Yes,No
LD20655,2025-11-24,Aggregator,Baleno,Mid,SP10,Test Drive,7,No,Yes
LD20656,2024-06-07,Website,City,Base,SP2,Booked,4,No,No
LD20657,2024-12-18,Facebook,City,Top,SP13,New,9,Yes,No
LD20658,2025-11-04,Facebook,Creta,Top,SP6,Booked,8,No,No
LD20659,2024-09-19,Website,Nexon,Top,SP9,Lost,1,No,No
LD20660,2025-12-29,Facebook,Baleno,Top,SP20,Booked,0,Yes,Yes
LD20661,2025-02-09,Referral,City,Base,SP8,Booked,9,Yes,No
LD20662,2025-11-23,Referral,City,Base,SP10,New,6,No,Yes
LD20663,2025-08-25,Aggregator,Venue,Mid,SP16,Test Drive,9,No,Yes
LD20664,2024-01-17,Aggregator,Creta,Base,SP15,Booked,8,Yes,No
LD20665,2025-09-28,Facebook,City,Mid,SP13,Test Drive,4,No,Yes
LD20666,2024-09-16,Website,Baleno,Base,SP18,Contacted,3,No,Yes
LD20667,2024-12-20,Referral,Swift,Base,SP6,Lost,3,Yes,Yes
LD20668,2025-05-03,Walk-in,Swift,Top,SP20,Test Drive,7,Yes,No
LD20669,2024-08-01,Aggregator,Creta,Mid,SP9,Lost,0,Yes,Yes
LD20670,2024-08-26,Referral,Swift,Top,SP18,Test Drive,0,No,Yes
LD20671,2024-06-28,Facebook,Venue,Top,SP7,Booked,7,Yes,No
LD20672,2025-02-22,Referral,Venue,Base,SP5,Booked,1,No,Yes
LD20673,2025-11-14,Referral,Baleno,Base,SP11,Test Drive,9,Yes,No
LD20674,2024-05-22,Facebook,Nexon,Mid,SP13,New,5,Yes,No
LD20675,2024-11-12,Aggregator,Creta,Mid,SP3,New,1,No,No
LD20676,2024-08-31,Aggregator,Creta,Base,SP1,Test Drive,4,Yes,No
LD20677,2024-08-19,Walk-in,Swift,Mid,SP4,Lost,2,No,No
LD20678,2025-11-14,Walk-in,City,Base,SP19,Test Drive,6,No,Yes
LD20679,2025-08-11,Aggregator,City,Base,SP18,New,8,No,No
LD20680,2024-10-29,Aggregator,Nexon,Base,SP6,Contacted,1,No,Yes
LD20681,2024-11-26,Aggregator,City,Mid,SP10,Test Drive,6,No,Yes
LD20682,2025-07-14,Aggregator,Nexon,Top,SP7,Test Drive,7,Yes,No
LD20683,2024-09-04,Referral,Baleno,Mid,SP12,Lost,9,Yes,Yes
LD20684,2024-10-09,Walk-in,Creta,Top,SP8,Test Drive,7,No,Yes
LD20685,2024-10-13,Facebook,Swift,Mid,SP13,Contacted,6,No,No
LD20686,2024-02-01,Website,Baleno,Top,SP18,Test Drive,3,No,No
LD20687,2025-05-14,Facebook,Venue,Top,SP14,Booked,3,No,No
LD20688,2025-10-31,Website,Venue,Mid,SP11,Test Drive,9,Yes,Yes
